KommuneNr,IndicatorType,Year,Value,KommuneName
101,Indbyggertal 1. januar,2010,528208.0,Københavns Kommune
101,Indbyggertal 1. januar,2011,539542.0,Københavns Kommune
101,Indbyggertal 1. januar,2012,549050.0,Københavns Kommune
101,Indbyggertal 1. januar,2013,559440.0,Københavns Kommune
101,Indbyggertal 1. januar,2014,569557.0,Københavns Kommune
101,Indbyggertal 1. januar,2015,580184.0,Københavns Kommune
101,Indbyggertal 1. januar,2016,591481.0,Københavns Kommune
101,Indbyggertal 1. januar,2017,602481.0,Københavns Kommune
101,Indbyggertal 1. januar,2018,613288.0,Københavns Kommune
101,Indbyggertal 1. januar,2019,623404.0,Københavns Kommune
101,Indbyggertal 1. januar,2020,632340.0,Københavns Kommune
147,Indbyggertal 1. januar,2010,96718.0,Frederiksberg Kommune
147,Indbyggertal 1. januar,2011,98782.0,Frederiksberg Kommune
147,Indbyggertal 1. januar,2012,100215.0,Frederiksberg Kommune
147,Indbyggertal 1. januar,2013,102029.0,Frederiksberg Kommune
147,Indbyggertal 1. januar,2014,102717.0,Frederiksberg Kommune
147,Indbyggertal 1. januar,2015,103192.0,Frederiksberg Kommune
147,Indbyggertal 1. januar,2016,104481.0,Frederiksberg Kommune
147,Indbyggertal 1. januar,2017,105037.0,Frederiksberg Kommune
147,Indbyggertal 1. januar,2018,104410.0,Frederiksberg Kommune
147,Indbyggertal 1. januar,2019,103960.0,Frederiksberg Kommune
147,Indbyggertal 1. januar,2020,104305.0,Frederiksberg Kommune
151,Indbyggertal 1. januar,2010,47652.0,Ballerup Kommune
151,Indbyggertal 1. januar,2011,47930.0,Ballerup Kommune
151,Indbyggertal 1. januar,2012,47994.0,Ballerup Kommune
151,Indbyggertal 1. januar,2013,48211.0,Ballerup Kommune
151,Indbyggertal 1. januar,2014,48514.0,Ballerup Kommune
151,Indbyggertal 1. januar,2015,48355.0,Ballerup Kommune
151,Indbyggertal 1. januar,2016,48224.0,Ballerup Kommune
151,Indbyggertal 1. januar,2017,48231.0,Ballerup Kommune
151,Indbyggertal 1. januar,2018,48295.0,Ballerup Kommune
151,Indbyggertal 1. januar,2019,48458.0,Ballerup Kommune
151,Indbyggertal 1. januar,2020,48602.0,Ballerup Kommune
153,Indbyggertal 1. januar,2010,33795.0,Brøndby Kommune
153,Indbyggertal 1. januar,2011,34021.0,Brøndby Kommune
153,Indbyggertal 1. januar,2012,34084.0,Brøndby Kommune
153,Indbyggertal 1. januar,2013,34210.0,Brøndby Kommune
153,Indbyggertal 1. januar,2014,34580.0,Brøndby Kommune
153,Indbyggertal 1. januar,2015,35050.0,Brøndby Kommune
153,Indbyggertal 1. januar,2016,35322.0,Brøndby Kommune
153,Indbyggertal 1. januar,2017,35594.0,Brøndby Kommune
153,Indbyggertal 1. januar,2018,35538.0,Brøndby Kommune
153,Indbyggertal 1. januar,2019,35397.0,Brøndby Kommune
153,Indbyggertal 1. januar,2020,35090.0,Brøndby Kommune
155,Indbyggertal 1. januar,2010,13564.0,Dragør Kommune
155,Indbyggertal 1. januar,2011,13717.0,Dragør Kommune
155,Indbyggertal 1. januar,2012,13692.0,Dragør Kommune
155,Indbyggertal 1. januar,2013,13917.0,Dragør Kommune
155,Indbyggertal 1. januar,2014,13977.0,Dragør Kommune
155,Indbyggertal 1. januar,2015,14028.0,Dragør Kommune
155,Indbyggertal 1. januar,2016,14142.0,Dragør Kommune
155,Indbyggertal 1. januar,2017,14288.0,Dragør Kommune
155,Indbyggertal 1. januar,2018,14272.0,Dragør Kommune
155,Indbyggertal 1. januar,2019,14270.0,Dragør Kommune
155,Indbyggertal 1. januar,2020,14494.0,Dragør Kommune
157,Indbyggertal 1. januar,2010,71052.0,Gentofte Kommune
157,Indbyggertal 1. januar,2011,71714.0,Gentofte Kommune
157,Indbyggertal 1. januar,2012,72814.0,Gentofte Kommune
157,Indbyggertal 1. januar,2013,73360.0,Gentofte Kommune
157,Indbyggertal 1. januar,2014,74282.0,Gentofte Kommune
157,Indbyggertal 1. januar,2015,74932.0,Gentofte Kommune
157,Indbyggertal 1. januar,2016,75350.0,Gentofte Kommune
157,Indbyggertal 1. januar,2017,75805.0,Gentofte Kommune
157,Indbyggertal 1. januar,2018,75803.0,Gentofte Kommune
157,Indbyggertal 1. januar,2019,75176.0,Gentofte Kommune
157,Indbyggertal 1. januar,2020,74830.0,Gentofte Kommune
159,Indbyggertal 1. januar,2010,64102.0,Gladsaxe Kommune
159,Indbyggertal 1. januar,2011,64951.0,Gladsaxe Kommune
159,Indbyggertal 1. januar,2012,65303.0,Gladsaxe Kommune
159,Indbyggertal 1. januar,2013,66030.0,Gladsaxe Kommune
159,Indbyggertal 1. januar,2014,66656.0,Gladsaxe Kommune
159,Indbyggertal 1. januar,2015,67347.0,Gladsaxe Kommune
159,Indbyggertal 1. januar,2016,67914.0,Gladsaxe Kommune
159,Indbyggertal 1. januar,2017,68775.0,Gladsaxe Kommune
159,Indbyggertal 1. januar,2018,69484.0,Gladsaxe Kommune
159,Indbyggertal 1. januar,2019,69681.0,Gladsaxe Kommune
159,Indbyggertal 1. januar,2020,69262.0,Gladsaxe Kommune
161,Indbyggertal 1. januar,2010,21296.0,Glostrup Kommune
161,Indbyggertal 1. januar,2011,21384.0,Glostrup Kommune
161,Indbyggertal 1. januar,2012,21650.0,Glostrup Kommune
161,Indbyggertal 1. januar,2013,21869.0,Glostrup Kommune
161,Indbyggertal 1. januar,2014,22066.0,Glostrup Kommune
161,Indbyggertal 1. januar,2015,22357.0,Glostrup Kommune
161,Indbyggertal 1. januar,2016,22461.0,Glostrup Kommune
161,Indbyggertal 1. januar,2017,22528.0,Glostrup Kommune
161,Indbyggertal 1. januar,2018,22663.0,Glostrup Kommune
161,Indbyggertal 1. januar,2019,22615.0,Glostrup Kommune
161,Indbyggertal 1. januar,2020,23128.0,Glostrup Kommune
163,Indbyggertal 1. januar,2010,26556.0,Herlev Kommune
163,Indbyggertal 1. januar,2011,26597.0,Herlev Kommune
163,Indbyggertal 1. januar,2012,26608.0,Herlev Kommune
